date,year,month,meanDailyCapFactor,monthlyEnergyMWh,meanDailyEnergyMWh
1177970400000,2007,5,0.6098803016726402,54450.11333333334,1756.4552688172046
1180648800000,2007,6,0.5723247685185185,49448.86000000001,1648.2953333333337
1183240800000,2007,7,0.6234772252090799,55664.046666666676,1795.614408602151
1185919200000,2007,8,0.5903439366786142,52705.90666666666,1700.1905376344084
1188597600000,2007,9,0.5526068672839507,47745.23333333333,1591.5077777777776
1191189600000,2007,10,0.5149891726403824,45978.23333333333,1483.168817204301
1193868000000,2007,11,0.42074783950617284,36352.61333333334,1211.7537777777782
1196460000000,2007,12,0.14485976702508963,12933.08,417.19612903225806
1199138400000,2008,1,0.08823708183990442,7877.806666666667,254.12279569892476
1201816800000,2008,2,0.22196072796934865,18538.16,639.2468965517241
1204322400000,2008,3,0.4409637843488649,39369.24666666665,1269.9756989247308
1207000800000,2008,4,0.5795135802469135,50069.97333333333,1668.999111111111
