datetime,year,month,priceMean,priceWeightedMean,priceMax,priceMin,value,volumeGWh,powerMeanMW,powerMaxMW,powerMinMW,priceOffMean,priceOffCoefVar,powerOffMeanMW,valueOff,priceOffWeightedMean,priceStandardMean,priceStandardCoefVar,powerStandardMeanMW,valueStandard,priceStandardWeightedMean,priceMorningMean,priceMorningCoefVar,powerMorningMeanMW,valueMorning,priceMorningWeightedMean,priceEveningMean,priceEveningCoefVar,powerEveningMeanMW,valueEvening,priceEveningWeightedMean,days,priceDailyP10,priceDailyP90,priceDailyMinMean,priceDailyMaxMean,volumeDailyMaxMWh,volumeDailyMinMWh,powerDailyMaxMW,powerDailyMinMW
2017-02-01,2017,2,47.361,42.291,107.5,14.75,3022.0,71.456,106.33,465.8,13,28.278,0.20369,136.84,1294.0,29.186,65.551,0.21351,75.564,1229.4,65.603,51.679,0.19775,98.573,297.69,50.334,82.677,0.14943,61.647,200.88,81.463,28,26.314,59.7761,21.011,60.892,5702.7,1157.0,99.642,100.30
2017-03-01,2017,3,37.834,34.560,107.97,13.86,2032.6,58.812,79.049,196.5,0,21.712,0.19666,87.925,632.24,20.663,48.747,0.25874,70.410,928.05,46.906,48.131,0.18618,89.112,294.92,47.965,77.692,0.32258,49.572,177.37,77.782,31,22.697,51.294,15.765,57.708,3171.0,1068.0,94.392,100.54
2017-04-01,2017,4,38.292,37.264,105,14.88,3261.8,87.532,121.57,272,0,21.472,0.25035,121.20,904.26,20.441,51.274,0.23445,126.58,1642.4,50.884,52.704,0.22994,113.22,350.65,51.616,87.394,0.37146,105.54,364.49,86.340,30,23.6107,51.74790000000001,17.312,58.566,4583.2,1346.0,95.858,100.29
2017-05-01,2017,5,49.643,43.620,105.05,17.94,2862.0,65.612,88.189,234,0,28.348,0.19267,115.56,1146.2,28.501,63.620,0.16131,64.869,1159.8,63.628,70.833,0.16684,69.236,332.92,69.688,93.586,0.10095,51.987,223.08,93.286,31,25.789,59.327,25.093,60.394,3667.4,1122.0,99.104,101.72
2017-06-01,2017,6,55.307,48.100,135.07,24.96,4354.5,90.530,125.74,324,0,31.782,0.12682,162.68,1735.7,31.381,64.714,0.14106,90.007,1412.5,63.279,85.266,0.12365,122.81,687.74,84.849,111.19,0.24262,72.579,518.49,108.24,30,31.203500000000002,64.8246,29.717,68.291,4315.2,1583.8,91.733,107.02
2017-07-01,2017,7,49.198,42.823,136.01,20.97,5136.8,119.96,161.23,352,0,29.823,0.10508,207.14,2304.5,29.827,60.558,0.14443,129.40,1949.7,61.499,75.613,0.17646,112.36,531.02,75.017,93.311,0.27661,62.100,351.61,89.874,31,30.254,61.557,26.097,64.313,5189.6,2489.6,216.23,103.73
2017-08-01,2017,8,52.902,48.577,115.06,24.2,7796.4,160.49,215.72,398,0,29.981,0.073259,254.33,2657.3,30.023,66.134,0.082038,205.65,3532.3,66.576,79.667,0.15094,134.49,770.94,83.080,92.258,0.20471,139.88,835.92,86.609,31,30.36,62.384,28.397,63.295,6088.1,3008.4,253.67,125.35
2017-09-01,2017,9,48.713,46.084,95,26.07,7396.9,160.51,222.93,490,0,30.090,0.061708,252.00,2651.2,30.145,63.356,0.039461,205.12,3456.4,63.349,66.823,0.080659,182.90,762.38,66.162,83.552,0.099880,154.24,526.92,81.337,30,32.6008,56.0522,29.695,57.098,7110.2,3156.8,296.26,131.53
2017-10-01,2017,10,48.229,45.853,87.85,27.04,8484.3,185.03,248.70,494,60.1,29.472,0.046944,274.33,2950.0,29.543,62.748,0.044620,241.27,4082.5,62.671,67.446,0.062860,211.01,929.86,66.769,85.481,0.010598,138.79,521.84,85.451,31,30.431,54.694,28.656,55.145,6975.4,4909.3,290.64,204.55
2017-11-01,2017,11,48.491,45.469,87,24.98,8231.9,181.05,251.45,458,55.4,28.135,0.051681,285.93,2743.3,28.218,63.119,0.051977,239.60,4078.3,63.041,68.734,0.075024,196.45,880.84,67.936,85.650,0.019829,140.28,529.58,85.803,30,28.968,54.6366,27.967,54.716,7229.3,4727.6,301.22,196.98
2017-12-01,2017,12,46.876,42.137,88.99,24.95,6776.2,160.81,216.15,468.6,10,30.061,0.060022,272.66,3054.1,30.030,61.197,0.15972,174.60,2869.4,61.781,62.762,0.16694,154.09,620.70,63.939,81.685,0.23037,70.433,232.02,78.432,31,31.558,56.423,28.417,57.289,7814.2,3815.0,325.59,158.96
2018-01-01,2018,1,51.203,44.098,94.95,29.96,6602.3,149.72,201.23,447.6,10,31.864,0.029786,277.15,3067.9,31.809,67.106,0.14153,143.02,2652.6,66.004,66.730,0.12233,126.31,569.16,65.304,77.068,0.21603,94.920,312.58,71.589,31,32.725,57.617,31.874,60.118,6972.0,2479.0,290.50,103.29
2018-02-01,2018,2,48.868,47.725,95.95,21.08,4777.3,100.10,148.96,369,10,29.158,0.12907,165.43,1625.8,30.332,65.640,0.13721,131.12,2159.0,66.397,65.010,0.10072,137.26,547.69,66.504,80.321,0.18591,143.66,444.74,77.396,28,31.0902,59.148900000000005,24.603,60.914,6953.5,1780.0,99.583,102.32
2018-03-01,2018,3,41.680,44.816,95.95,19.05,3845.3,85.801,115.32,292,30,24.304,0.14703,101.27,890.68,24.637,54.625,0.26220,122.87,1937.8,56.936,55.210,0.24792,149.97,559.99,56.578,80.880,0.25638,129.92,456.82,79.916,31,23.447,55.036,21.966,57.601,5227.2,1557.8,98.804,101.73
2018-04-01,2018,4,37.019,42.556,96.94,14.93,4018.1,94.420,131.14,275,3,19.872,0.16077,101.84,753.50,20.783,48.686,0.20368,153.04,2012.9,50.781,50.494,0.25677,186.85,626.24,53.198,90.191,0.23194,160.81,625.56,92.621,30,21.2957,47.4895,16.043,57.994,651.10,1449.0,93.167,102.36
2018-05-01,2018,5,32.453,33.728,96.06,10.03,2099.9,62.261,83.684,192,23,17.072,0.35518,75.916,465.01,17.601,40.697,0.41242,89.922,1005.8,39.807,46.610,0.46992,101.55,353.26,50.414,77.212,0.39996,77.530,275.80,77.332,31,17.273,50.35,12.652,51.073,2734.0,1062.0,97.625,101.92
2018-06-01,2018,6,53.386,53.251,148.03,19.98,5608.3,105.32,146.28,318.6,20,24.610,0.11546,157.31,1348.2,24.556,66.174,0.16656,129.68,2164.3,68.123,102.51,0.26124,134.73,906.58,106.81,113.94,0.20470,161.21,1189.2,117.09,30,25.952099999999998,70.8182,24.901,72.176,4969.9,1915.1,95.137,100.99
2018-07-01,2018,7,64.521,62.132,160,24.68,9398.6,151.27,203.32,478.2,23,29.733,0.13776,212.75,2347.5,30.314,75.593,0.18332,196.37,3646.3,74.872,145.61,0.17518,182.45,1722.1,143.01,133.69,0.17185,198.26,1682.7,128.59,31,34.48,80.078,25.689,80.213,7928.3,3334.7,330.35,138.95
2018-08-01,2018,8,59.716,60.804,160.55,23.95,9542.4,156.94,210.94,470,47,27.040,0.11867,218.28,2067.6,27.218,62.784,0.21133,190.70,3146.4,63.949,144.93,0.049513,229.53,2285.8,144.33,127.83,0.18109,230.92,2042.6,128.19,31,28.459,71.682,25.801,80.478,6303.0,2897.5,262.63,120.73
2018-09-01,2018,9,46.990,46.630,90.04,23.96,9768.7,209.49,290.96,557,110,28.152,0.075501,302.44,3126.6,28.323,60.340,0.11938,271.91,4208.6,60.697,76.543,0.16834,299.68,1380.5,76.779,89.456,0.011636,294.63,1053.0,89.347,30,28.7587,54.7474,26.068,55.068,8991.0,10204,425.17,208.29
2018-10-01,2018,10,52.469,45.564,130.01,29.08,13215,290.04,389.84,807.9,20,30.906,0.039973,496.30,5331.4,30.869,63.908,0.11497,328.59,5860.7,63.473,78.304,0.15555,298.55,1570.1,76.219,106.97,0.14037,95.546,453.10,103.09,31,31.905,60.176,30.821,60.450,9963.2,10068,585.32,195.26
2018-11-01,2018,11,57.159,47.735,176.2,27.27,9404.2,197.01,273.62,565,13.8,32.456,0.11402,349.77,3800.5,31.958,68.923,0.15481,226.97,4099.4,66.894,81.788,0.14857,206.73,1069.9,78.413,138.91,0.32565,71.800,434.40,137.50,30,36.0283,68.42590000000001,32.095,69.226,9911.2,10241,426.72,175.85
2018-12-01,2018,12,49.777,40.977,220.8,21.92,6511.8,158.91,213.59,487,0,30.193,0.29682,291.97,3201.7,29.399,62.520,0.29623,144.71,2392.2,62.148,64.588,0.38703,128.67,556.40,68.641,120.77,0.89980,81.179,361.47,106.02,31,30.565,70.457,24.459,71.697,6954.3,3375.2,289.76,140.63
2019-01-01,2019,1,42.527,36.419,135,20.95,4437.2,121.84,163.76,428,0,24.787,0.16931,217.61,1890.5,24.963,56.861,0.24593,122.44,1925.9,55.980,47.367,0.33754,121.84,378.47,45.018,81.907,0.47754,71.626,242.31,73.544,31,27.02,52.509,23.009,56.616,6677.6,1841.6,86.875,101.42
2019-02-01,2019,2,49.193,38.305,183.24,17.96,5076.1,132.52,197.20,549,0,25.271,0.38796,278.87,2251.8,24.922,66.962,0.21108,127.85,2103.4,66.336,59.871,0.29682,150.21,557.55,61.864,116.77,0.63137,36.023,163.29,113.33,28,28.7914,64.9135,21.750,65.701,8361.3,2188.7,91.196,101.33
2019-03-01,2019,3,47.525,40.521,175.36,16.91,3664.2,90.426,121.54,344,0,24.913,0.42135,148.24,1411.8,25.533,65.761,0.26726,95.335,1593.0,62.819,63.323,0.30266,121.00,472.07,61.926,109.14,0.60523,51.186,187.27,87.109,31,25.31,67.549,18.357,70.537,4314.0,1295.0,96.167,105.68
2019-04-01,2019,4,55.567,55.204,162.32,21.95,7011.0,127.00,176.39,438,30,30.883,0.12873,195.29,2133.5,32.132,72.470,0.15275,158.88,3234.9,75.409,83.060,0.19195,184.53,1065.0,87.445,101.35,0.26036,125.62,577.64,104.51,30,34.5158,68.0822,27.395,72.387,7628.4,1532.0,89.883,122.24
2019-05-01,2019,5,70.305,56.786,164.27,25.08,7705.0,135.68,182.37,437,21,41.490,0.37375,257.08,3481.3,38.913,87.995,0.18388,120.46,2875.9,84.962,95.241,0.17119,127.31,838.25,95.422,142.84,0.23254,77.980,509.49,142.03,31,46.182,82.91,42.667,83.235,6496.0,2828.8,270.67,117.87
2019-06-01,2019,6,91.059,75.452,211.97,36.92,10723,142.12,197.38,835.4,0,48.096,0.30554,265.70,4568.2,47.105,106.93,0.21674,127.10,3212.1,107.55,190.29,0.090778,148.43,1716.9,192.79,191.02,0.065090,106.08,1225.7,192.58,30,56.8611,113.56,102.03,96.856,8406.4,2249.5,93.729,101.07
2019-07-01,2019,7,102.72,85.958,400,46.98,16099,187.29,251.73,828.3,40,58.238,0.56077,356.19,6771.7,54.630,108.58,0.043940,151.68,4262.3,108.92,216.18,0.019894,206.96,3087.3,216.19,191.68,0.20659,143.76,1977.7,199.38,31,66.446,116.53,105.28,74.427,8035.0,3729.6,334.79,155.40
2019-08-01,2019,8,96.989,76.257,249.62,48.38,14090,184.77,248.35,731.1,0,53.464,0.12657,370.05,6950.6,52.613,102.82,0.060763,139.47,3614.0,101.62,205.24,0.031566,165.75,2244.2,205.15,201.63,0.21027,93.277,1281.1,208.09,31,58.305,112.46,105.73,78.049,8442.3,4009.3,351.76,167.05
2019-09-01,2019,9,68.363,56.466,238.61,29.94,12296,217.76,302.44,867,0,37.895,0.16773,408.29,5544.7,38.148,83.478,0.12465,204.34,4427.0,83.648,101.18,0.21156,238.38,1501.8,99.999,184.18,0.19128,106.33,822.29,184.14,30,39.6006,86.2345,31.516,91.343,9867.0,10331,430.46,208.00
2019-10-01,2019,10,61.549,54.900,186.65,26.99,12547,228.54,307.18,567.8,35,34.430,0.15700,357.10,4212.4,33.897,76.439,0.080067,284.99,6074.7,75.856,79.745,0.21743,272.23,1468.8,78.193,148.45,0.17210,117.46,791.01,146.39,31,38.691,72.709,34.057,75.529,9812.6,10006,442.63,126.33
2019-11-01,2019,11,73.540,58.046,275,29.97,9801.6,168.86,234.52,488.1,0,37.680,0.31735,282.34,3530.0,35.825,92.763,0.31349,209.90,4628.5,82.898,93.381,0.31664,179.44,971.72,85.956,220.01,0.31755,75.793,671.35,210.90,30,42.7909,100.18170000000002,109.17,99.183,9227.9,1534.0,63.917,105.20
2019-12-01,2019,12,85.022,75.292,277.33,29.98,10033,133.26,179.11,395.8,0,54.916,0.54837,191.65,3721.4,53.347,103.61,0.38281,170.09,4394.6,95.692,92.097,0.19556,224.45,1340.5,90.490,209.41,0.64197,62.761,576.80,208.87,31,65.263,102.17,101.37,99.344,5869.5,2364.0,98.500,112.17
2020-01-01,2020,1,77.126,64.048,281.9,31.93,8510.7,132.88,178.60,394,1,49.021,0.68456,176.02,2676.0,43.686,79.272,0.38588,185.44,3856.9,74.018,80.062,0.15053,250.55,1371.8,79.349,272.23,0.13011,48.413,605.93,272.08,31,59.491,87.748,38.796,90.356,5885.2,2719.8,245.22,113.33
2020-02-01,2020,2,76.323,70.739,364.15,30.57,5078.3,71.789,103.15,316,0,52.606,0.93090,56.608,793.25,41.094,78.872,0.43598,157.47,2960.1,73.715,81.580,0.14539,174.33,855.59,81.797,254.37,0.20052,46.750,469.34,250.98,29,60.5754,87.7764,102.88,93.784,3872.0,1079.0,96.138,101.14
2020-03-01,2020,3,86.254,76.291,282,29.95,4491.2,58.870,79.126,239.5,0,49.028,0.79088,67.587,994.44,40.422,104.87,0.43222,95.926,2348.8,90.686,118.58,0.36490,95.477,681.80,108.20,231.50,0.31598,46.964,466.23,225.63,31,54.424,113,100.87,93.213,808.90,1030.3,98.304,100.38
2020-04-01,2020,4,40.736,35.112,271,19.88,3038.9,86.548,120.21,273,20,22.575,0.17237,135.03,998.36,21.747,53.265,0.28959,103.78,1373.9,49.030,45.796,0.47277,148.99,406.20,41.309,96.592,0.95643,63.307,260.44,93.500,30,21.5174,56.60490000000001,20.744,76.673,4598.1,1532.0,94.579,104.17
2020-05-01,2020,5,43.897,37.218,298.35,19.78,3069.7,82.479,110.86,273,5,27.194,0.80097,118.56,1072.2,24.245,51.928,0.38042,98.141,1273.3,48.776,42.868,0.40629,147.71,379.24,40.752,142.92,2.0388,67.774,345.00,121.20,31,24.405,61.724,21.800,64.833,4180.0,1382.0,99.504,100.50
2020-06-01,2020,6,47.856,46.650,233.01,19.35,4934.7,105.78,146.92,327,50,20.992,0.15917,137.50,980.44,20.972,54.329,0.18531,140.29,1864.5,53.590,49.691,0.33750,239.97,787.29,49.708,160.09,1.0942,127.28,1302.5,155.04,30,23.2604,62.5024,21.618,63.513,4524.0,2098.5,87.438,105.81
2020-07-01,2020,7,52.498,44.811,231.54,18.94,4490.5,100.21,134.69,337,55,20.712,0.13599,160.62,1170.8,20.946,58.954,0.11472,111.80,1684.4,58.397,58.003,0.36182,141.22,555.10,56.967,183.16,0.66861,82.996,1080.2,188.63,31,22.259,62.457,19.444,65.790,4374.0,2088.0,91.825,106.10
2020-08-01,2020,8,52.858,46.819,299.52,19.29,4544.9,97.072,130.47,308,29,21.641,0.16626,135.26,1112.7,22.055,57.586,0.12634,124.80,1711.3,55.967,63.241,0.43524,170.75,677.27,62.960,208.92,0.95142,83.933,1043.6,197.36,31,23.118,76.826,22.442,77.240,4909.7,2219.9,94.754,100.77
2020-09-01,2020,9,50.270,45.889,296.94,20.91,3858.6,84.085,116.78,275,40,24.895,0.14466,128.20,1076.6,24.698,68.653,0.54342,106.84,1908.3,66.151,57.338,0.21829,118.27,440.74,56.461,122.94,1.3129,87.339,433.00,112.68,30,28.8738,68.6065,23.032,70.259,4723.1,1822.3,90.550,103.34
2020-10-01,2020,10,58.802,51.352,299.95,24.98,4329.9,84.319,113.33,288,0,30.688,0.13600,135.75,1482.8,30.595,73.457,0.50603,94.942,1950.1,74.153,61.906,0.32629,107.00,447.13,63.315,189.99,1.6302,56.686,449.87,180.37,31,33.088,97.841,101.98,97.841,904.00,1248.8,93.271,101.35
2020-11-01,2020,11,105.32,90.253,300.01,31.98,7399.4,81.985,113.87,304.6,0,46.348,0.34772,137.49,2212.4,45.201,147.91,0.37395,90.783,3498.0,148.77,136.48,0.52466,112.48,967.53,136.53,295.81,0.024923,58.093,721.48,295.70,30,51.8968,130.22500000000002,112.32,85.856,4569.1,1897.0,99.983,101.55
2020-12-01,2020,12,87.973,77.870,299.01,44.04,6676.4,85.738,115.24,263,17,49.494,0.10950,134.76,2299.7,49.039,107.14,0.41793,99.152,2925.0,104.98,111.37,0.47329,115.74,812.27,101.71,226.92,0.66604,65.107,639.43,213.50,31,48.312,121.89,100.72,99.033,4869.5,2113.5,98.500,102.83
2021-01-01,2021,1,63.962,60.459,299.2,42.04,4698.6,77.715,104.46,341,11,49.219,0.11701,112.43,2061.2,49.149,71.722,0.38811,106.06,1923.6,68.188,81.207,0.29425,80.681,421.14,82.854,119.88,0.64451,59.133,292.60,117.81,31,48.012,75.677,44.173,88.205,4457.1,1766.1,97.917,100.85
2021-02-01,2021,2,84.914,82.344,299.55,42.13,5131.1,62.313,92.727,199,29,58.312,0.58586,91.816,1672.7,56.228,107.32,0.43472,97.398,2526.5,104.60,90.564,0.39173,98.045,526.72,89.537,152.97,0.48618,63.170,405.18,160.35,28,46.844699999999996,113.00400000000002,100.04,99.110,2717.8,1587.0,99.204,100.97
2021-03-01,2021,3,61.029,57.291,204.05,25.06,4972.4,86.792,116.66,299.2,20,40.858,0.21412,120.81,1692.0,40.246,69.916,0.37397,119.39,2258.2,67.311,76.963,0.30147,108.99,538.61,71.621,135.44,0.43368,80.009,483.51,131.38,31,41.85,75.878,27.023,78.674,4008.2,1609.9,95.083,105.09
2021-04-01,2021,4,80.093,59.728,299.92,25.32,4867.4,81.492,113.18,377,0,38.590,0.12908,132.22,1675.3,37.266,93.142,0.71884,102.56,2077.1,75.011,112.25,0.58142,103.06,598.81,88.033,272.49,0.67829,46.464,516.16,252.47,30,37.355,101.543,100.06,99.246,6370.0,1442.1,98.683,101.32
2021-05-01,2021,5,83.527,66.344,299.66,26.98,5273.2,79.483,106.83,286,17,37.737,0.13344,131.39,1805.5,36.841,109.25,0.61972,83.895,2254.8,101.04,110.13,0.46721,95.260,596.21,99.344,287.36,0.24118,51.383,616.68,285.75,31,35.69,109.36,102.58,98.485,4485.1,1778.9,97.700,100.67
2021-06-01,2021,6,120.48,106.45,299.69,35.07,7843.2,73.679,102.33,270,0,61.524,0.38462,115.88,2242.3,56.912,136.28,0.41008,82.396,2615.0,127.97,193.05,0.092076,157.16,1981.8,191.06,292.27,0.061907,52.624,1004.1,289.10,30,63.97380000000001,141.88,101.08,87.564,3627.0,1630.0,99.950,101.23
2021-07-01,2021,7,112.40,102.55,299.9,34.95,10275,100.20,134.68,342,11,51.691,0.32026,147.35,2651.7,50.408,131.98,0.37676,120.68,3952.2,128.43,188.11,0.10694,174.85,2142.9,185.70,289.44,0.048335,80.032,1528.3,289.34,31,56.869,135.47,129.69,95.130,4624.4,2347.1,98.654,103.08
2021-08-01,2021,8,105.31,93.862,303.23,34.94,11831,126.05,169.42,375,42.3,46.234,0.19534,195.36,3247.2,45.664,118.05,0.37276,143.69,4107.0,115.25,202.87,0.032093,184.88,2468.5,202.31,285.70,0.099227,107.56,2008.3,282.91,31,41.645,136.45,113.87,70.824,6001.0,3007.8,250.04,125.32
2021-09-01,2021,9,99.464,85.481,304.75,32.04,9789.3,114.52,159.06,325,5,43.923,0.17732,188.94,2799.0,43.572,117.96,0.52723,134.84,4130.2,113.44,187.38,0.072090,164.51,2023.2,186.34,283.25,0.070430,68.552,836.86,277.45,30,40.8521,123.08800000000001,110.72,64.023,5546.0,3059.4,231.08,127.47
2021-10-01,2021,10,121.75,93.026,320,30.24,6962.0,74.840,100.59,256,0,64.405,0.70926,132.75,2817.7,56.906,152.84,0.60031,69.835,2655.5,142.95,203.90,0.12192,90.017,1154.0,203.48,310.82,0.024258,25.643,334.85,310.91,31,73.855,160.59,116.60,89.957,738.00,1061.0,96.817,102.00
2021-11-01,2021,11,106.42,70.197,319.5,29.03,8447.6,120.34,167.14,402,5,42.937,0.21188,253.30,3638.5,42.248,132.45,0.54831,99.386,3116.9,116.15,198.99,0.075292,78.077,1028.7,199.63,298.43,0.088967,50.745,663.48,297.15,30,37.2483,141.723,114.37,63.032,6794.8,2256.8,94.033,117.96
2021-12-01,2021,12,103.15,76.367,320,26.02,6500.1,85.117,114.40,316.4,0,48.015,0.80686,149.77,2346.0,45.012,132.36,0.62135,86.177,2598.4,107.30,160.02,0.25084,96.459,1069.5,160.68,256.42,0.49855,46.224,486.22,228.67,31,55.359,139.6,104.81,91.365,4086.1,2115.7,99.817,102.25
2022-01-01,2022,1,62.264,49.740,258.97,25.6,5342.4,107.41,144.36,355,10,30.449,0.23241,178.25,1968.8,29.612,71.594,0.17150,115.58,2141.3,69.648,80.118,0.00044055,124.52,628.58,80.125,258.94,0.00015850,55.512,603.73,258.95,31,27.037,79.561,26.212,81.920,5339.1,1874.6,96.871,103.10
2022-02-01,2022,2,94.262,64.467,370.57,25.56,5601.1,86.882,129.29,428,0,54.780,0.87959,171.66,2423.6,43.577,110.90,0.50688,92.102,2053.3,89.895,110.17,0.52294,110.73,639.51,96.254,287.05,0.39959,44.498,484.60,272.26,28,56.682500000000005,136.571,103.94,91.391,5570.0,1497.4,97.662,105.79
2022-03-01,2022,3,108.36,77.649,326.59,25.45,5307.7,68.355,91.875,264,0,72.199,0.71507,123.40,2629.9,61.242,122.20,0.52928,63.540,1797.6,100.68,104.53,0.45596,96.906,640.03,95.720,303.07,0.27741,18.930,240.19,275.82,31,82.185,143.85,102.39,89.961,922.30,1070.0,98.296,101.49
2022-04-01,2022,4,59.224,52.063,314.13,17.97,5083.4,97.640,135.61,310,7,33.098,0.59636,129.41,1344.1,29.760,76.626,0.61225,141.08,2521.4,67.188,68.211,0.21036,175.08,753.09,68.276,152.63,1.0852,93.293,464.85,118.64,30,27.5939,80.38680000000001,26.333,82.855,5333.0,2240.8,98.738,103.09
2022-05-01,2022,5,52.020,48.985,275,15.01,5087.1,103.85,139.59,384.1,5,25.223,0.42336,135.32,1238.0,25.133,62.849,0.31478,138.55,2265.6,60.562,65.254,0.17403,202.90,883.14,65.950,187.40,0.85677,86.227,700.43,184.61,31,23.736,67.486,21.224,72.438,5331.8,2261.8,99.608,103.04
2022-06-01,2022,6,70.739,60.107,313.92,14.05,5576.1,92.769,128.85,298.8,13,22.261,0.54337,147.01,1065.9,21.326,78.428,0.40248,108.23,1822.2,67.888,144.34,0.41856,139.31,1269.3,138.05,217.98,0.32679,102.27,1418.6,210.18,30,18.367900000000002,107.32600000000001,101.49,99.320,4419.6,1717.6,99.362,103.20
2022-07-01,2022,7,101.46,101.95,301.06,25.07,11071,108.59,145.96,316.9,25,39.813,0.55232,140.11,2035.9,38.955,110.12,0.58821,151.59,3952.0,106.41,240.84,0.082318,166.37,2520.8,240.51,293.41,0.049486,138.22,2562.4,294.27,31,31.345,141.51,118.97,44.521,5244.4,2617.0,218.52,109.04
