year_month,year,month,water_year,water_month,flow,volume
1932_7,1932,7,1931,10,698.7728518,1871.593206
1932_8,1932,8,1931,11,451.1134798,1208.262344
1932_9,1932,9,1931,12,335.4461737,869.4764823
1932_10,1932,10,1932,1,253.9205915,680.1009124
1932_11,1932,11,1932,2,201.2765621,521.708849
1932_12,1932,12,1932,3,309.3957727,828.6856376
1933_1,1933,1,1932,4,579.8664899,1553.114406
1933_2,1933,2,1932,5,809.4349941,1958.185138
1933_3,1933,3,1932,6,1081.450134,2896.556038
1933_4,1933,4,1932,7,1532.979602,3973.483128
1933_5,1933,5,1932,8,1260.369452,3375.773541
1933_6,1933,6,1932,9,664.8372397,1723.258125
1933_7,1933,7,1932,10,405.5850965,1086.319122
1933_8,1933,8,1932,11,293.4674606,786.0232466
1933_9,1933,9,1932,12,214.9048885,557.0334711
1933_10,1933,10,1933,1,175.6233107,470.3894753
1933_11,1933,11,1933,2,182.0818597,471.9561804
1933_12,1933,12,1933,3,340.85785,912.9536655
1934_1,1934,1,1933,4,637.8732239,1708.479643
1934_2,1934,2,1933,5,854.5396589,2067.302343
1934_3,1934,3,1933,6,2146.712291,5749.7542
1934_4,1934,4,1933,7,4623.92641,11985.21726
1934_5,1934,5,1933,8,2748.780329,7362.333233
1934_6,1934,6,1933,9,1604.645569,4159.241314
1934_7,1934,7,1933,10,762.2922551,2041.723576
1934_8,1934,8,1933,11,442.4557359,1185.073443
1934_9,1934,9,1933,12,311.2050546,806.6435016
1934_10,1934,10,1934,1,229.99911,616.0296162
1934_11,1934,11,1934,2,226.8663013,588.037453
1934_12,1934,12,1934,3,445.8125833,1194.064423
1935_1,1935,1,1934,4,658.375247,1763.392261
1935_2,1935,2,1934,5,971.1753253,2349.467347
1935_3,1935,3,1934,6,2103.687467,5634.516512
1935_4,1935,4,1934,7,2617.46981,6784.481749
1935_5,1935,5,1934,8,1863.369747,4990.849531
1935_6,1935,6,1934,9,1308.442017,3391.481707
1935_7,1935,7,1934,10,670.5520896,1796.006717
1935_8,1935,8,1934,11,425.7447623,1140.314771
1935_9,1935,9,1934,12,320.6781085,831.1976572
1935_10,1935,10,1935,1,256.1047081,685.9508501
1935_11,1935,11,1935,2,209.0051848,541.741439
1935_12,1935,12,1935,3,307.9808936,824.8960255
1936_1,1936,1,1935,4,518.9109726,1389.851149
1936_2,1936,2,1935,5,778.3708246,1950.285938
1936_3,1936,3,1935,6,1185.706,3175.79495
1936_4,1936,4,1935,7,2103.746445,5452.910787
1936_5,1936,5,1935,8,2269.628314,6078.972478
1936_6,1936,6,1935,9,1320.149923,3421.828601
1936_7,1936,7,1935,10,571.1364981,1529.731997
1936_8,1936,8,1935,11,375.6737359,1006.204534
1936_9,1936,9,1935,12,268.7861067,696.6935884
1936_10,1936,10,1936,1,215.7203843,577.7854774
1936_11,1936,11,1936,2,219.4974685,568.9374383
1936_12,1936,12,1936,3,322.3892689,863.4874179
1937_1,1937,1,1936,4,551.1463509,1476.190386
1937_2,1937,2,1936,5,1141.580716,2761.712069
1937_3,1937,3,1936,6,2823.452601,7562.335447
1937_4,1937,4,1936,7,3191.781214,8273.096907
1937_5,1937,5,1936,8,2433.994829,6519.211749
1937_6,1937,6,1936,9,1883.403156,4881.78098
1937_7,1937,7,1936,10,912.8869421,2445.076386
1937_8,1937,8,1936,11,516.1301768,1382.403066
1937_9,1937,9,1936,12,359.7209992,932.3968298
1937_10,1937,10,1937,1,273.9144401,733.6524365
1937_11,1937,11,1937,2,259.9803418,673.8690461
1937_12,1937,12,1937,3,394.2706752,1056.014576
1938_1,1938,1,1937,4,621.8144609,1665.467852
1938_2,1938,2,1937,5,857.8204893,2075.239328
1938_3,1938,3,1937,6,1147.723954,3074.063838
1938_4,1938,4,1937,7,2403.60852,6230.153283
1938_5,1938,5,1937,8,2042.15962,5469.720325
1938_6,1938,6,1937,9,1203.901467,3120.512603
1938_7,1938,7,1937,10,576.6592996,1544.524268
1938_8,1938,8,1937,11,394.7518724,1057.303415
1938_9,1938,9,1937,12,296.7983292,769.3012693
1938_10,1938,10,1938,1,243.9085514,653.2846641
1938_11,1938,11,1938,2,248.5820522,644.3246794
1938_12,1938,12,1938,3,408.7227684,1094.723063
1939_1,1939,1,1938,4,691.6652131,1852.556107
1939_2,1939,2,1938,5,1011.480229,2446.972969
1939_3,1939,3,1938,6,2211.932247,5924.439331
1939_4,1939,4,1938,7,2417.699323,6266.676646
1939_5,1939,5,1938,8,1675.318555,4487.173218
1939_6,1939,6,1938,9,918.2738937,2380.165933
1939_7,1939,7,1938,10,492.9372042,1320.283008
1939_8,1939,8,1938,11,369.9335686,990.8300702
1939_9,1939,9,1938,12,291.339735,755.1525931
1939_10,1939,10,1939,1,241.7744968,647.5688121
1939_11,1939,11,1939,2,280.9108515,728.1209272
1939_12,1939,12,1939,3,509.5141809,1364.682782
1940_1,1940,1,1939,4,803.8468089,2153.023293
1940_2,1940,2,1939,5,1100.660554,2757.815085
1940_3,1940,3,1939,6,1995.017658,5343.455295
1940_4,1940,4,1939,7,4567.825916,11839.80478
1940_5,1940,5,1939,8,3204.546841,8583.05826
1940_6,1940,6,1939,9,1842.029903,4774.54151
1940_7,1940,7,1939,10,975.4727549,2612.706227
1940_8,1940,8,1939,11,555.8194824,1488.706902
1940_9,1940,9,1939,12,372.6113169,965.8085333
1940_10,1940,10,1940,1,279.382802,748.2988968
1940_11,1940,11,1940,2,341.3681021,884.8261206
1940_12,1940,12,1940,3,397.7236409,1065.263
1941_1,1941,1,1940,4,616.6026106,1651.508432
1941_2,1941,2,1940,5,1105.401574,2674.187487
1941_3,1941,3,1940,6,1760.500599,4715.324805
1941_4,1941,4,1940,7,2915.603207,7557.243512
1941_5,1941,5,1940,8,2061.274885,5520.918651
1941_6,1941,6,1940,9,1176.652842,3049.884167
1941_7,1941,7,1940,10,586.3988779,1570.610755
1941_8,1941,8,1940,11,392.0777221,1050.140971
1941_9,1941,9,1940,12,295.7632602,766.6183705
1941_10,1941,10,1941,1,227.2437288,608.6496031
1941_11,1941,11,1941,2,226.6534896,587.4858452
1941_12,1941,12,1941,3,309.8126849,829.8022951
1942_1,1942,1,1941,4,482.7964698,1293.122065
1942_2,1942,2,1941,5,652.3686861,1578.210325
1942_3,1942,3,1941,6,941.3309486,2521.260813
1942_4,1942,4,1941,7,1495.626639,3876.664248
1942_5,1942,5,1941,8,1899.391374,5087.329857
1942_6,1942,6,1941,9,1004.986526,2604.925076
1942_7,1942,7,1941,10,469.4696446,1257.427496
1942_8,1942,8,1941,11,334.2768662,895.3271584
1942_9,1942,9,1941,12,247.5184625,641.5678549
