start_date,year,month,year_month,water_month,water_year,water_year_name,water_year_month,level_mean,level_min,level_max,outflow,vicfalls_flow,capacity_mw,outflow_generation_max,is_spill,outflow_generation,outflow_spill,power_mw,level_start,level_end
01/04/1965,1965,4,1965_4,7,1964,1964/65,1964_7,483.93,483.46,484.36,494,2604,666,500,FALSE,494,0,464,483.46,484.36
01/05/1965,1965,5,1965_5,8,1964,1964/65,1964_8,484.61,484.36,484.91,885,2106,666,500,TRUE,500,385,470,484.39,484.91
01/06/1965,1965,6,1965_6,9,1964,1964/65,1964_9,485.07,484.92,485.2,517,1295,666,500,TRUE,500,17,470,484.94,485.17
01/07/1965,1965,7,1965_7,10,1964,1964/65,1964_10,485.18,485.15,485.2,523,681,666,500,TRUE,500,23,470,485.18,485.15
01/08/1965,1965,8,1965_8,11,1964,1964/65,1964_11,485.08,485.01,485.15,534,472,666,500,TRUE,500,34,470,485.13,485.01
01/09/1965,1965,9,1965_9,12,1964,1964/65,1964_12,484.9,484.78,485,532,370,666,500,TRUE,500,32,470,485,484.78
01/10/1965,1965,10,1965_10,1,1965,1965/66,1965_1,484.67,484.54,484.77,519,301,666,500,TRUE,500,19,470,484.77,484.54
01/11/1965,1965,11,1965_11,2,1965,1965/66,1965_2,484.47,484.39,484.54,490,279,666,500,FALSE,490,0,460,484.54,484.4
01/12/1965,1965,12,1965_12,3,1965,1965/66,1965_3,483.9,482.93,484.4,3177,419,666,500,TRUE,500,2677,470,484.39,482.93
01/01/1966,1966,1,1966_1,4,1965,1965/66,1965_4,481.96,481.51,482.85,3342,610,666,500,TRUE,500,2842,470,482.85,481.51
01/02/1966,1966,2,1966_2,5,1965,1965/66,1965_5,481.85,481.48,482.42,558,916,666,550,TRUE,550,8,517,481.48,482.42
01/03/1966,1966,3,1966_3,6,1965,1965/66,1965_6,482.93,482.48,483.35,512,1709,666,550,FALSE,512,0,481,482.48,483.35
01/04/1966,1966,4,1966_4,7,1965,1965/66,1965_7,484.33,483.4,485.26,459,4427,666,550,FALSE,459,0,431,483.4,485.26
01/05/1966,1966,5,1966_5,8,1965,1965/66,1965_8,485.07,484.71,485.32,2572,2728,666,550,TRUE,550,2022,517,485.32,485.32
01/06/1966,1966,6,1966_6,9,1965,1965/66,1965_9,485.62,485.36,485.84,536,1653,666,550,FALSE,536,0,503,485.36,485.84
01/07/1966,1966,7,1966_7,10,1965,1965/66,1965_10,485.22,484.53,485.85,3379,885,666,550,TRUE,550,2829,517,485.85,484.53
01/08/1966,1966,8,1966_8,11,1965,1965/66,1965_11,483.99,483.6,484.46,2139,542,666,550,TRUE,550,1589,517,484.46,483.6
01/09/1966,1966,9,1966_9,12,1965,1965/66,1965_12,483.3,483.18,483.55,976,417,666,550,TRUE,550,426,517,483.55,483.18
